
C0 = 0.4995   Ce = 0.4933   Ci = 0.5   C6 = -3.6319444444444444444444444E-4   C5 = 4.4324074074074074074E-3   C4 = -2.02606481481481481481E-2   C3 = 4.10768518518518518519E-2   C2 = -3.10854166666666666667E-2   zi = 3.0   ze = 1.0   J = 6995968
     t M                     N                     C                     k                 R
   539 1.1024600806947E+117  2.710527379791E+116   4.946505658974324E-1  1.2204199082E+1   5.3144E+1          70
   540 1.817649385139E+117   4.4451094516138E+116  4.946421146527569E-1  1.22695281985E+1  5.3233E+1          71
   541 2.9967972039538E+117  7.2896630444393E+116  4.946336868987123E-1  1.23353111318E+1  5.3322E+1          71
   542 4.9408832941334E+117  1.1954427812487E+117  4.946252826901888E-1  1.24015511366E+1  5.3411E+1          71
   543 8.1461393830846E+117  1.960408101721E+117   4.94616902081697E-1   1.24682514916E+1  5.35E+1            70
   544 1.343071327498E+118   3.2148487747533E+117  4.946085451273694E-1  1.25354154991E+1  5.3589E+1          71
   545 2.2143502657133E+118  5.2719463778435E+117  4.946002118809602E-1  1.26030464856E+1  5.3678E+1          71
   546 3.650846383862E+118   8.6452549609533E+117  4.94591902395847E-1   1.26711478015E+1  5.3767E+1          71
   547 6.019228089132E+118   1.417689175568E+118   4.945836167250313E-1  1.27397228218E+1  5.3856E+1          72
   548 9.9240293837477E+118  2.3247735061087E+118  4.94575354921139E-1   1.28087749459E+1  5.3944E+1          71
   549 1.6361958336038E+119  3.8122088808043E+118  4.945671170364217E-1  1.28783075979E+1  5.4033E+1          71
   550 2.6976308738935E+119  6.2512829570278E+118  4.945589031227572E-1  1.29483242268E+1  5.4121E+1          72
   551 4.4476414022856E+119  1.0250807155192E+119  4.945507132316502E-1  1.30188283066E+1  5.421E+1           71
   552 7.3329209843948E+119  1.6809059625965E+119  4.945425474142337E-1  1.30898233362E+1  5.4299E+1          72
   553 1.2089942803335E+120  2.756292039285E+119   4.945344057212689E-1  1.31613128403E+1  5.4388E+1          71
   554 1.9932945861406E+120  4.5196365588572E+119  4.945262882031468E-1  1.32333003689E+1  5.4477E+1          72
   555 3.2863871829415E+120  7.4110249398996E+119  4.945181949098884E-1  1.33057894977E+1  5.4566E+1          72
   556 5.4183364522719E+120  1.2152049412805E+120  4.94510125891146E-1   1.33787838284E+1  5.4653E+1          72
   557 8.9333265606705E+120  1.9925869402303E+120  4.945020811962037E-1  1.34522869885E+1  5.4742E+1          72
   558 1.4728565518688E+121  3.2672438083597E+120  4.944940608739782E-1  1.3526302632E+1   5.4831E+1          72
   559 2.4283299257561E+121  5.3572551326522E+120  4.944860649730197E-1  1.36008344391E+1  5.492E+1           72
   560 4.0036392008718E+121  8.7841480753025E+120  4.944780935415126E-1  1.36758861168E+1  5.5008E+1          72
   561 6.6008851106862E+121  1.4403018210608E+121  4.944701466272765E-1  1.37514613987E+1  5.5097E+1          72
